2nd_closest_human_facing_robot,3d_closest_human_facing_robot,closest_human_facing_robot,direction_from_closest_human_to_robot,direction_to_2nd_closest_human,direction_to_3rd_closest_human,direction_to_closest_human,distance_to_2nd_closest_human,distance_to_3rd_closest_human,distance_to_closest_animal,distance_to_closest_child,distance_to_closest_human,distance_to_group,group_radius,music_playing,number_of_agents_in_scene,number_of_animals,number_of_children,number_of_people,number_of_people_in_group,number_of_people_sittinglaying_in_sofa,robot_facing_2nd_closest_human,robot_facing_3rd_closest_human,robot_facing_closest_human,robot_facing_group,robot_within_group,robot_work_radius
0,1,0,165.6169,206.0469,157.227,169.8342,1.3406280000000002,1.3966100000000001,50.0,50.0,0.2723939,0.9201078000000001,0.6537603,0,4,0,0,0,3,0,0,0,0,0,0,0.0
0,0,1,31.01315,3.8375550000000005,351.3956,342.0502,4.183591000000001,4.640758,0.8155574999999999,50.0,2.513173,4.868525,0.7486463000000001,0,7,1,0,5,4,0,1,1,1,1,0,2.965246
0,1,0,132.4383,191.1294,171.4675,170.7823,3.281864,4.26957,50.0,50.0,3.128141,3.721229,0.8077036,0,5,0,0,2,4,0,0,0,0,0,0,0.0
0,0,0,112.0687,16.90305,115.5572,310.9452,1.158756,2.155143,2.421412,50.0,1.044367,50.0,50.0,0,7,1,0,5,0,0,1,0,0,0,0,2.71651
0,0,0,298.038,335.5641,357.8825,57.011540000000004,5.037866999999999,5.188845,50.0,50.0,2.60145,50.0,50.0,0,5,0,0,4,0,0,1,1,0,0,0,0.0
0,0,0,146.423,223.7832,272.0123,112.3849,3.1192509999999998,4.553574,50.0,0.780138,0.780138,50.0,50.0,0,4,0,2,3,0,0,0,0,0,0,0,0.0
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,1.489354
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,1.229452,50.0,50.0,50.0,50.0,0,2,1,0,0,0,0,0,0,0,0,0,0.0
0,0,0,191.93200000000002,1000.0,1000.0,353.509,50.0,50.0,50.0,50.0,3.573754,50.0,50.0,0,2,0,0,1,0,0,0,0,1,0,0,0.729978
0,0,0,96.97842,343.5538,353.515,314.0464,4.537458,5.273271,50.0,50.0,2.959759,50.0,50.0,0,6,0,0,5,0,0,1,1,0,0,0,2.480624
0,0,1,37.21053,321.1544,242.8785,324.2321,3.4439019999999996,4.9132370000000005,50.0,50.0,2.967566,50.0,50.0,0,4,0,0,3,0,0,1,0,1,0,0,2.737975
0,0,0,68.14664,35.40567,55.98203,101.0139,3.699103,3.8885660000000004,50.0,50.0,3.3020370000000003,50.0,50.0,1,5,0,0,4,0,0,1,0,0,0,0,0.0
0,0,0,225.2704,182.2003,1000.0,243.1238,3.749657,50.0,2.198953,50.0,3.134291,50.0,50.0,0,4,1,0,2,0,0,0,0,0,0,0,0.0
0,0,1,26.63055,1000.0,1000.0,169.3601,50.0,50.0,50.0,50.0,2.929708,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0
0,0,0,1000.0,117.7091,1000.0,96.82297,3.9984269999999995,50.0,50.0,50.0,2.432729,50.0,50.0,0,3,0,0,2,0,2,0,0,0,0,0,0.0
1,1,1,0.0,90.0,306.0,234.0,0.7455940999999999,0.7455941999999999,50.0,50.0,0.7455940999999999,0.0,0.7455941999999999,0,9,0,0,8,5,2,0,0,0,1,1,0.0
1,1,1,0.0,72.00001999999999,144.0,360.0,0.7738763000000001,0.7738763000000001,3.2231349999999996,50.0,0.7738763000000001,0.0,0.7738764,0,9,1,0,2,5,2,0,0,1,1,1,2.5497900000000002
1,1,0,281.3279,252.8304,253.0505,210.3279,1.05208,2.017921,50.0,2.017921,0.6862590999999999,50.0,50.0,0,8,0,2,7,0,0,0,0,0,0,1,0.0
0,0,0,62.19687,1000.0,1000.0,244.0247,50.0,50.0,50.0,50.0,2.7311,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,1,0.0
0,0,0,52.18488,12.90028,148.7885,201.988,1.275493,1.5545010000000001,50.0,50.0,0.4913013,50.0,50.0,0,4,0,0,3,0,0,1,0,0,0,1,0.0
0,0,0,161.477,289.735,234.2092,344.2921,2.021775,3.2869089999999996,0.525363,50.0,0.8046346999999999,50.0,50.0,0,6,1,0,4,0,0,0,0,1,0,1,2.063536
0,0,0,135.2681,104.7861,273.7708,238.3482,1.3412600000000001,1.559825,50.0,50.0,0.8514081,50.0,50.0,0,6,0,0,5,0,1,0,0,0,0,1,0.0
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,1,2.073651
1,0,1,0.0,95.0,215.0,335.0,0.9325957,0.9325958000000001,50.0,50.0,0.9325956,0.0,0.9325957,0,6,0,0,5,3,0,0,0,1,1,1,0.0
1,0,1,0.0,52.0,172.0,292.0,0.7367137,0.7367139,50.0,50.0,0.7367137,0.0,0.7367138000000001,0,6,0,0,4,3,2,0,0,0,1,1,2.5424700000000002
1,1,1,0.0,4.0,94.0,274.0,0.6324034000000001,0.6324034000000001,50.0,50.0,0.6324034000000001,0.0,0.6324034000000001,0,8,0,0,7,4,2,1,0,0,1,1,0.0
1,0,1,323.3377,76.99683,67.93211,10.337660000000001,1.559092,2.4390490000000002,50.0,50.0,1.534389,50.0,50.0,0,5,0,0,4,0,0,0,0,1,0,1,0.0
1,0,0,291.2374,160.814,199.9791,336.2896,1.0825930000000001,1.114592,50.0,50.0,0.6990575,1.403292,0.5211625,0,9,0,0,8,4,2,0,0,1,0,0,2.804343
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,1.677813
0,0,0,205.9371,304.43,1000.0,133.2442,4.77917,50.0,1.295552,50.0,0.4814477,50.0,50.0,0,4,1,0,2,0,0,0,0,0,0,0,0.0
0,0,0,185.6925,1000.0,1000.0,150.7553,50.0,50.0,50.0,50.0,2.793144,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0
1,1,1,0.0,12.0,102.0,282.0,0.5775557,0.5775557,50.0,2.402568,0.5775556,0.0,0.5775556,0,9,0,2,8,4,0,1,0,0,1,1,2.543657
0,0,1,25.17989,224.12099999999998,75.08688000000001,108.1799,1.666475,2.196234,50.0,1.6159700000000001,1.6159700000000001,50.0,50.0,0,8,0,1,7,0,0,0,0,0,0,1,1.11476
0,0,1,24.22821,331.1597,1000.0,112.0483,2.112453,50.0,1.78397,50.0,0.7387353,50.0,50.0,0,4,1,0,2,0,0,1,0,0,0,1,1.307129
0,0,1,322.8898,1000.0,1000.0,17.661620000000003,50.0,50.0,50.0,50.0,3.632128,50.0,50.0,0,2,0,0,1,0,0,0,0,1,0,1,0.0
0,0,0,273.444,241.4726,226.00099999999998,183.5541,5.492038,5.616137999999999,50.0,50.0,2.918814,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,1,0.0
0,0,0,161.9477,207.6476,200.4783,206.5853,3.1623490000000003,4.151051,50.0,50.0,1.036216,50.0,50.0,0,4,0,0,3,0,0,0,0,0,0,1,0.0
0,0,0,174.9671,109.12100000000001,122.8378,60.01944,1.225727,1.473474,50.0,0.605999,0.605999,50.0,50.0,0,7,0,2,6,0,1,0,0,0,0,1,0.9348030999999999
0,0,1,333.5485,165.3133,230.6191,73.47983,1.209506,1.386166,50.0,50.0,0.9237428,50.0,50.0,1,7,0,0,6,0,0,0,0,0,0,1,0.0
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1,1,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,239.6115,358.5289,356.9237,296.2033,2.076898,4.690815,50.0,50.0,1.570402,50.0,50.0,1,4,0,0,3,0,2,1,1,0,0,1,2.6067970000000003
1,0,1,35.39795,346.0597,293.7205,229.1813,2.171871,4.189106,50.0,50.0,1.51264,50.0,50.0,0,4,0,0,3,0,0,1,0,0,0,1,0.0
0,0,0,248.7358,176.6665,187.1397,229.4732,3.5740230000000004,4.128891,50.0,50.0,2.002332,4.040559,0.5162592,1,5,0,0,4,3,0,0,0,0,0,0,0.0
1,1,1,0.0,127.0,247.0,7.0,0.8632483,0.8632485000000001,50.0,50.0,0.8632483,0.0,0.8632484,0,4,0,0,0,3,0,0,0,1,1,1,0.0
0,0,0,188.5494,32.76059,11.15344,27.549409999999998,2.793441,3.09815,2.620486,50.0,0.8744774,50.0,50.0,0,6,1,0,4,0,0,1,1,1,0,1,0.0
0,0,0,189.8448,220.2068,258.5822,53.90303,1.299442,2.193759,50.0,0.6770257,0.6770257,4.619498,0.5409702,0,9,0,2,8,4,0,0,0,0,0,0,1.692014
1,0,0,127.3668,9.909237,352.5074,350.5813,2.369255,3.126744,50.0,50.0,2.340815,2.7169790000000003,0.5594439,0,5,0,0,1,4,0,1,1,1,1,0,0.0
0,0,0,207.4392,292.99,34.01337,9.004944,1.8217720000000002,3.284412,50.0,1.8217720000000002,1.620666,3.897311,0.5103571,1,9,0,2,5,4,2,0,1,1,1,0,0.0
1,0,1,350.8575,222.0484,246.5429,289.4034,1.176834,1.407429,50.0,50.0,0.6872425,50.0,50.0,0,5,0,0,4,0,0,0,0,0,0,0,1.5300209999999999
0,0,0,152.4902,1000.0,1000.0,284.493,50.0,50.0,50.0,50.0,3.6798269999999995,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,1.631047
1,1,1,0.0,79.0,169.0,349.0,0.6047323,0.6047323,3.169186,50.0,0.6047323,0.0,0.6047323,0,7,1,0,5,4,0,0,0,1,1,1,0.0
1,1,1,0.0,353.0,83.0,263.0,0.5057997999999999,0.5057997999999999,0.8655536,50.0,0.5057997999999999,0.0,0.5057997999999999,0,6,1,0,1,4,0,1,0,0,1,1,2.138789
1,1,1,0.0,221.0,311.0,131.0,0.7316083999999999,0.7316083999999999,50.0,50.0,0.7316083999999999,0.0,0.7316083999999999,0,5,0,0,1,4,0,0,0,0,1,1,1.711623
0,0,0,69.79419,209.5477,38.95747,317.7942,0.8293287,1.906696,50.0,0.7528636,0.7528636,50.0,50.0,1,8,0,1,7,0,0,0,1,0,0,1,0.0
0,1,1,323.8765,338.8985,39.79738,71.08237,1.546093,2.8260389999999997,50.0,50.0,0.6908196999999999,50.0,50.0,0,7,0,0,6,0,0,1,1,0,0,1,0.0
1,0,0,45.60818,112.2661,79.43896,160.0166,1.7450430000000001,2.178729,50.0,5.871325,0.6024963000000001,50.0,50.0,0,9,0,2,8,0,0,0,0,0,0,1,1.313851
0,0,0,231.2775,269.7212,10.4115,245.4198,1.8554599999999999,2.4138450000000002,1.153089,50.0,0.7910393,50.0,50.0,0,10,1,0,8,0,2,0,1,0,0,1,0.7127373
0,0,1,352.846,238.0772,1000.0,53.576809999999995,2.1184119999999997,50.0,3.6318980000000005,50.0,1.342382,50.0,50.0,0,4,1,0,2,0,0,0,0,0,0,1,2.236568
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1000.0,1000.0,1000.0,2.095795,50.0,50.0,50.0,50.0,3.7322889999999997,50.0,50.0,0,2,0,0,1,0,1,0,0,1,0,1,0.0
1,1,1,0.0,318.0,48.0,228.0,0.8667579,0.8667579,50.0,50.0,0.8667579,0.0,0.8667579,0,6,0,0,5,4,0,0,0,0,1,1,0.5047573000000001
0,0,1,355.1823,302.3652,99.2298,239.1824,1.218259,1.5794190000000001,50.0,50.0,1.211654,50.0,50.0,0,6,0,0,5,0,0,0,0,0,0,1,2.727159
0,0,0,226.7938,351.8858,6.569733,6.947692999999999,3.884723,4.7924809999999995,1.4355719999999998,50.0,3.7828809999999997,4.303421,0.7141718,0,6,1,0,1,4,0,1,1,1,1,0,0.0
1,0,0,182.3212,136.3318,182.0423,23.58929,3.0143,3.887769,2.714946,50.0,1.180521,50.0,50.0,1,6,1,0,4,0,0,0,0,1,0,0,0.0
1,0,0,253.3059,240.2449,152.6415,192.9847,1.725931,3.909208,50.0,1.263615,1.263615,50.0,50.0,0,4,0,1,3,0,0,0,0,0,0,0,0.0
0,0,0,239.9407,1000.0,1000.0,49.63478,50.0,50.0,50.0,50.0,1.8110849999999998,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0
0,0,0,1000.0,1000.0,1000.0,227.9596,50.0,50.0,50.0,50.0,2.0659549999999998,50.0,50.0,0,2,0,0,1,0,1,0,0,0,0,0,1.01458
0,0,1,330.2123,1000.0,1000.0,80.31204,50.0,50.0,4.347185,50.0,0.8036729,50.0,50.0,0,3,1,0,1,0,0,0,0,0,0,0,0.0
1,0,1,0.0,154.0,64.0,334.0,0.5897415,0.5897416999999999,50.0,3.185308,0.5897415,0.0,0.5897415,0,8,0,1,7,4,0,0,0,1,1,1,1.905906
0,0,0,118.4381,236.104,37.73552,178.4381,1.333033,2.2672950000000003,50.0,50.0,0.7964127,50.0,50.0,0,6,0,0,5,0,1,0,1,0,0,1,0.0
1,0,0,266.5615,133.6957,32.40375,134.4575,1.8411419999999998,2.058078,0.9407361999999999,1.8411419999999998,0.8881882999999999,50.0,50.0,0,10,1,2,8,0,0,0,1,0,0,1,0.0
0,0,1,13.22385,339.9936,324.4108,273.4241,2.98849,3.6032309999999996,50.0,3.6032309999999996,2.667877,50.0,50.0,0,4,0,1,3,0,0,1,1,0,0,1,0.0
0,0,1,25.034589999999998,272.0013,193.8486,160.8241,2.498928,3.2841620000000002,50.0,50.0,2.204135,50.0,50.0,0,5,0,0,4,0,0,0,0,0,0,1,2.718603
0,0,0,210.1096,334.7057,279.5156,249.1327,3.6618839999999997,3.8842809999999997,50.0,50.0,2.2248919999999996,50.0,50.0,0,5,0,0,4,0,1,1,0,0,0,1,0.0
