Stamp,File Path,Using circle,Using arrow,Number of people,Number of people in group,Group radius,Distance to group,Robot within group?,Robot facing group?,Robot work radius,Distance to closest human,Distance to 2nd closest human,Distance to 3rd closest human,Direction to closest human,Direction to 2nd closest human,Direction to 3rd closest human,Direction from closest human to robot,Robot facing closest human?,Closest human facing robot?,Number of children,Distance to closest child,Number of animals,Distance to closest animal,Number of people sitting/laying in sofa?,Music playing?,Number of agents in scene,
810,data/screenshots/810_1_0_4_0_50_50_0_0_2.13951_2.917477_3.500979_3.864833_26.13263_16.39949_5.828186_256.6353_1_0_0_50_0_1_5.png,1,0,4,0,50,50,0,0,2.13951,2.917477,3.500979,3.864833,26.13263,16.39949,5.828186,256.6353,1,0,0,50,0,50,1,0,5,
811,data/screenshots/811_1_0_0_0_50_50_0_0_2.022625_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,1,0,0,0,50,50,0,0,2.022625,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
812,data/screenshots/812_0_1_3_0_50_50_0_0_0_2.266973_2.681883_3.132634_78.21082_89.62556_205.966_271.5417_0_0_0_50_0_0_4.png,0,1,3,0,50,50,0,0,0,2.266973,2.681883,3.132634,78.21082,89.62556,205.966,271.5417,0,0,0,50,0,50,0,0,4,
813,data/screenshots/813_0_1_0_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_1_0_2.png,0,1,0,0,50,50,0,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,1,1.44865,0,0,2,
814,data/screenshots/814_0_1_3_0_50_50_0_0_0_1.884312_3.070881_3.116715_216.631_73.5052_129.3305_245.5875_0_0_0_50_0_0_4.png,0,1,3,0,50,50,0,0,0,1.884312,3.070881,3.116715,216.631,73.5052,129.3305,245.5875,0,0,0,50,0,50,0,0,4,
815,data/screenshots/815_1_0_4_3_0.7545679_0_1_1_1.959467_0.7545677_0.7545677_0.7545679_105_345_225_0_1_1_0_50_1_0_6.png,1,0,4,3,0.7545679,0,1,1,1.959467,0.7545677,0.7545677,0.7545679,105,345,225,0,1,1,0,50,1,5.268463,0,0,6,
816,data/screenshots/816_1_0_5_0_50_50_1_0_2.211262_0.6283578_0.6764714_0.7433293_181.4353_25.63351_266.2389_336.4353_1_1_0_50_1_0_7.png,1,0,5,0,50,50,1,0,2.211262,0.6283578,0.6764714,0.7433293,181.4353,25.63351,266.2389,336.4353,1,1,0,50,1,1.16265,0,1,7,
817,data/screenshots/817_0_1_5_0_50_50_1_0_0_0.5314955_2.300414_2.585676_236.3992_174.699_159.5018_152.0327_1_1_0_50_0_0_6.png,0,1,5,0,50,50,1,0,0,0.5314955,2.300414,2.585676,236.3992,174.699,159.5018,152.0327,1,1,0,50,0,50,0,0,6,
818,data/screenshots/818_0_1_6_3_0.9792284_4.87949_0_0_0_0.6715873_3.428057_3.997152_129.0264_128.5675_174.488_29.94198_0_1_2_0.6715873_0_0_7.png,0,1,6,3,0.9792284,4.87949,0,0,0,0.6715873,3.428057,3.997152,129.0264,128.5675,174.488,29.94198,0,1,2,0.6715873,0,50,0,0,7,
819,data/screenshots/819_1_0_5_0_50_50_0_0_0.9933301_0.5531934_1.511264_2.070074_329.5675_51.25616_53.11191_262.5095_1_0_0_50_0_0_6.png,1,0,5,0,50,50,0,0,0.9933301,0.5531934,1.511264,2.070074,329.5675,51.25616,53.11191,262.5095,1,0,0,50,0,50,0,0,6,
820,data/screenshots/820_1_0_4_0_50_50_0_0_1.744471_4.558805_4.84803_50_132.5569_144.8231_1000_250.0664_0_0_0_50_0_2_5.png,1,0,4,0,50,50,0,0,1.744471,4.558805,4.84803,50,132.5569,144.8231,1000,250.0664,0,0,0,50,0,50,2,0,5,
821,data/screenshots/821_0_1_2_0_50_50_0_0_0_1.759126_4.296427_50_92.30835_345.2606_1000_332.3748_0_1_1_1.759126_0_0_3.png,0,1,2,0,50,50,0,0,0,1.759126,4.296427,50,92.30835,345.2606,1000,332.3748,0,1,1,1.759126,0,50,0,0,3,
822,data/screenshots/822_1_0_3_0_50_50_0_0_0.6031679_2.982227_4.066388_4.410464_171.2098_213.5532_197.507_10.58458_0_1_0_50_0_0_4.png,1,0,3,0,50,50,0,0,0.6031679,2.982227,4.066388,4.410464,171.2098,213.5532,197.507,10.58458,0,1,0,50,0,50,0,0,4,
823,data/screenshots/823_0_1_2_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_0_2_3.png,0,1,2,0,50,50,0,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,2,0,3,
824,data/screenshots/824_1_0_7_0_50_50_0_0_2.647694_0.4998429_1.137542_1.69153_131.742_1.401947_57.2468_29.66994_0_1_2_2.178991_0_0_8.png,1,0,7,0,50,50,0,0,2.647694,0.4998429,1.137542,1.69153,131.742,1.401947,57.2468,29.66994,0,1,2,2.178991,0,50,0,0,8,
825,data/screenshots/825_1_0_0_0_50_50_0_0_1.55638_50_50_50_1000_1000_1000_1000_1_1_0_50_1_0_2.png,1,0,0,0,50,50,0,0,1.55638,50,50,50,1000,1000,1000,1000,1,1,0,50,1,3.939221,0,0,2,
826,data/screenshots/826_0_1_2_0_50_50_0_0_0_0.864295_1.316058_50_95.19852_80.05188_1000_315.3733_0_0_2_0.864295_0_0_3.png,0,1,2,0,50,50,0,0,0,0.864295,1.316058,50,95.19852,80.05188,1000,315.3733,0,0,2,0.864295,0,50,0,0,3,
827,data/screenshots/827_0_1_6_0_50_50_0_0_0_1.4226_1.424725_2.164372_343.1273_18.07735_173.6147_261.5006_1_0_0_50_0_0_7.png,0,1,6,0,50,50,0,0,0,1.4226,1.424725,2.164372,343.1273,18.07735,173.6147,261.5006,1,0,0,50,0,50,0,0,7,
828,data/screenshots/828_0_1_0_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,0,1,0,0,50,50,0,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
829,data/screenshots/829_0_1_7_0_50_50_0_0_0_1.210098_1.330715_3.053133_342.9568_56.44722_237.989_279.9447_1_0_1_4.79913_0_0_8.png,0,1,7,0,50,50,0,0,0,1.210098,1.330715,3.053133,342.9568,56.44722,237.989,279.9447,1,0,1,4.79913,0,50,0,0,8,
830,data/screenshots/830_1_0_4_0_50_50_0_0_1.240805_0.6970441_1.373453_1.814129_21.49539_246.8418_217.9573_307.9305_1_0_0_50_0_0_5.png,1,0,4,0,50,50,0,0,1.240805,0.6970441,1.373453,1.814129,21.49539,246.8418,217.9573,307.9305,1,0,0,50,0,50,0,0,5,
831,data/screenshots/831_0_1_5_0_50_50_0_0_0_1.312466_2.497079_2.664029_123.0116_84.37985_111.6579_217.9421_0_0_0_50_0_0_6.png,0,1,5,0,50,50,0,0,0,1.312466,2.497079,2.664029,123.0116,84.37985,111.6579,217.9421,0,0,0,50,0,50,0,0,6,
832,data/screenshots/832_1_0_8_0_50_50_0_0_0.8068149_1.35613_1.411484_1.477416_37.2783_4.191284_60.38206_49.86676_1_0_2_1.477416_0_0_9.png,1,0,8,0,50,50,0,0,0.8068149,1.35613,1.411484,1.477416,37.2783,4.191284,60.38206,49.86676,1,0,2,1.477416,0,50,0,0,9,
833,data/screenshots/833_0_1_1_0_50_50_0_0_0_4.543196_50_50_336.8716_1000_1000_341.8422_1_1_0_50_1_0_3.png,0,1,1,0,50,50,0,0,0,4.543196,50,50,336.8716,1000,1000,341.8422,1,1,0,50,1,5.057958,0,0,3,
834,data/screenshots/834_0_1_5_0_50_50_0_0_0_0.7242842_1.057955_4.099414_217.6135_87.36327_46.05747_276.4557_0_0_0_50_0_0_6.png,0,1,5,0,50,50,0,0,0,0.7242842,1.057955,4.099414,217.6135,87.36327,46.05747,276.4557,0,0,0,50,0,50,0,0,6,
835,data/screenshots/835_0_1_3_0_50_50_0_0_0_2.381417_3.302009_4.818744_102.6939_8.914368_12.59595_134.1496_0_0_0_50_0_0_4.png,0,1,3,0,50,50,0,0,0,2.381417,3.302009,4.818744,102.6939,8.914368,12.59595,134.1496,0,0,0,50,0,50,0,0,4,
836,data/screenshots/836_1_0_5_0_50_50_0_0_0.9947993_0.7480854_1.04259_1.528228_148.6984_102.4403_168.3969_308.0685_0_0_0_50_0_0_6.png,1,0,5,0,50,50,0,0,0.9947993,0.7480854,1.04259,1.528228,148.6984,102.4403,168.3969,308.0685,0,0,0,50,0,50,0,0,6,
837,data/screenshots/837_0_1_7_4_0.5898832_4.846219_0_1_0_1.036756_4.331084_4.60453_12.96597_3.594849_353.4698_256.3768_1_0_0_50_0_2_8.png,0,1,7,4,0.5898832,4.846219,0,1,0,1.036756,4.331084,4.60453,12.96597,3.594849,353.4698,256.3768,1,0,0,50,0,50,2,0,8,
838,data/screenshots/838_1_0_2_4_0.6023344_0_1_1_1.189958_0.6023344_0.6023345_0.6023345_238_328_57.99999_0_1_1_0_50_1_0_6.png,1,0,2,4,0.6023344,0,1,1,1.189958,0.6023344,0.6023345,0.6023345,238,328,57.99999,0,1,1,0,50,1,4.732814,0,0,6,
839,data/screenshots/839_0_1_1_4_0.6480913_0_1_1_0_0.6480913_0.6480913_0.6480913_36_126_216_0_1_1_0_50_0_1_6.png,0,1,1,4,0.6480913,0,1,1,0,0.6480913,0.6480913,0.6480913,36,126,216,0,1,1,0,50,0,50,1,0,6,
840,data/screenshots/840_0_1_4_0_50_50_1_0_0_1.397057_5.515904_5.703395_156.5056_111.5212_106.9011_229.5056_1_1_0_50_0_0_5.png,0,1,4,0,50,50,1,0,0,1.397057,5.515904,5.703395,156.5056,111.5212,106.9011,229.5056,1,1,0,50,0,50,0,0,5,
841,data/screenshots/841_1_0_5_0_50_50_1_0_2.460951_3.352887_4.005226_4.299478_116.6028_115.3028_120.6576_70.1084_1_1_2_3.352887_0_0_6.png,1,0,5,0,50,50,1,0,2.460951,3.352887,4.005226,4.299478,116.6028,115.3028,120.6576,70.1084,1,1,2,3.352887,0,50,0,0,6,
842,data/screenshots/842_1_0_0_0_50_50_1_0_0.9960877_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,1,0,0,0,50,50,1,0,0.9960877,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
843,data/screenshots/843_0_1_1_0_50_50_1_0_0_5.885903_50_50_14.00038_1000_1000_345.1635_1_1_0_50_0_0_2.png,0,1,1,0,50,50,1,0,0,5.885903,50,50,14.00038,1000,1000,345.1635,1,1,0,50,0,50,0,0,2,
844,data/screenshots/844_1_0_2_0_50_50_1_0_2.313161_2.038191_3.090751_50_136.6084_174.8994_1000_41.77196_1_1_0_50_0_0_3.png,1,0,2,0,50,50,1,0,2.313161,2.038191,3.090751,50,136.6084,174.8994,1000,41.77196,1,1,0,50,0,50,0,0,3,
845,data/screenshots/845_1_0_2_0_50_50_1_0_2.032504_1.49806_2.378331_50_351.8332_88.70856_1000_152.8961_1_1_1_1.49806_0_0_3.png,1,0,2,0,50,50,1,0,2.032504,1.49806,2.378331,50,351.8332,88.70856,1000,152.8961,1,1,1,1.49806,0,50,0,0,3,
846,data/screenshots/846_1_0_6_0_50_50_1_0_1.533571_0.4927221_1.689166_2.164405_93.62964_218.7364_220.5558_137.5258_1_1_0_50_0_2_7.png,1,0,6,0,50,50,1,0,1.533571,0.4927221,1.689166,2.164405,93.62964,218.7364,220.5558,137.5258,1,1,0,50,0,50,2,0,7,
847,data/screenshots/847_0_1_3_0_50_50_1_0_0_0.955556_1.898157_6.440233_118.2598_188.0993_159.797_345.7118_1_1_1_6.440233_0_0_4.png,0,1,3,0,50,50,1,0,0,0.955556,1.898157,6.440233,118.2598,188.0993,159.797,345.7118,1,1,1,6.440233,0,50,0,0,4,
848,data/screenshots/848_0_1_5_0_50_50_1_0_0_0.6883543_3.23068_3.521362_357.1893_129.3469_35.9949_214.4383_1_1_0_50_0_1_6.png,0,1,5,0,50,50,1,0,0,0.6883543,3.23068,3.521362,357.1893,129.3469,35.9949,214.4383,1,1,0,50,0,50,1,1,6,
849,data/screenshots/849_1_0_1_0_50_50_1_0_2.99867_0.8201978_50_50_56.81641_1000_1000_131.0603_1_1_0_50_1_0_3.png,1,0,1,0,50,50,1,0,2.99867,0.8201978,50,50,56.81641,1000,1000,131.0603,1,1,0,50,1,4.188675,0,0,3,
850,data/screenshots/850_1_0_3_0_50_50_1_0_0.9651073_0.7926313_2.912678_3.902508_220.1069_30.06944_302.7497_344.1672_1_1_0_50_1_0_5.png,1,0,3,0,50,50,1,0,0.9651073,0.7926313,2.912678,3.902508,220.1069,30.06944,302.7497,344.1672,1,1,0,50,1,4.905782,0,0,5,
851,data/screenshots/851_0_1_1_0_50_50_1_0_0_1.468145_50_50_13.2345_1000_1000_176.3642_1_1_0_50_1_0_3.png,0,1,1,0,50,50,1,0,0,1.468145,50,50,13.2345,1000,1000,176.3642,1,1,0,50,1,1.688159,0,0,3,
852,data/screenshots/852_1_0_6_0_50_50_1_0_2.297287_0.6194077_0.8293796_1.094867_214.0235_59.15823_337.7119_126.3878_1_1_0_50_0_1_7.png,1,0,6,0,50,50,1,0,2.297287,0.6194077,0.8293796,1.094867,214.0235,59.15823,337.7119,126.3878,1,1,0,50,0,50,1,0,7,
853,data/screenshots/853_0_1_0_0_50_50_1_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,0,1,0,0,50,50,1,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
854,data/screenshots/854_0_1_7_3_0.6549175_3.863508_0_1_0_3.344764_3.867091_4.463742_6.375145_350.2806_3.615166_220.9225_1_0_0_50_0_2_8.png,0,1,7,3,0.6549175,3.863508,0,1,0,3.344764,3.867091,4.463742,6.375145,350.2806,3.615166,220.9225,1,0,0,50,0,50,2,0,8,
855,data/screenshots/855_1_0_6_5_0.5495587_4.027769_0_1_0.6671124_3.491598_3.733138_3.784953_358.1579_28.92165_7.239388_166.3733_1_0_0_50_0_0_7.png,1,0,6,5,0.5495587,4.027769,0,1,0.6671124,3.491598,3.733138,3.784953,358.1579,28.92165,7.239388,166.3733,1,0,0,50,0,50,0,0,7,
856,data/screenshots/856_1_0_1_5_0.9890906_0_1_1_1.533184_0.9890904_0.9890904_0.9890904_168_240_24_0_1_1_0_50_0_0_6.png,1,0,1,5,0.9890906,0,1,1,1.533184,0.9890904,0.9890904,0.9890904,168,240,24,0,1,1,0,50,0,50,0,0,6,
857,data/screenshots/857_0_1_0_5_0.861075_0_1_1_0_0.8610748_0.8610748_0.8610749_356_67.99998_212_0_1_1_0_50_0_0_6.png,0,1,0,5,0.861075,0,1,1,0,0.8610748,0.8610748,0.8610749,356,67.99998,212,0,1,1,0,50,0,50,0,0,6,
858,data/screenshots/858_0_1_2_5_0.6083167_3.261381_0_0_0_2.68477_2.956761_3.305022_183.7537_170.2731_190.6039_200.5481_0_0_0_50_0_0_6.png,0,1,2,5,0.6083167,3.261381,0,0,0,2.68477,2.956761,3.305022,183.7537,170.2731,190.6039,200.5481,0,0,0,50,0,50,0,0,6,
859,data/screenshots/859_1_0_0_5_0.6964626_0_1_1_1.729363_0.6964625_0.6964626_0.6964626_8_296_79.99998_0_1_1_0_50_0_0_6.png,1,0,0,5,0.6964626,0,1,1,1.729363,0.6964625,0.6964626,0.6964626,8,296,79.99998,0,1,1,0,50,0,50,0,0,6,
860,data/screenshots/860_1_0_4_0_50_50_1_0_2.968538_2.185649_3.458719_3.618693_52.1033_76.93198_48.90907_78.1033_1_1_0_50_0_0_5.png,1,0,4,0,50,50,1,0,2.968538,2.185649,3.458719,3.618693,52.1033,76.93198,48.90907,78.1033,1,1,0,50,0,50,0,0,5,
861,data/screenshots/861_1_0_9_0_50_50_1_0_1.898044_0.4384858_0.4744897_0.6228573_157.032_20.08243_116.7473_104.1353_1_1_2_0.6228573_0_1_10.png,1,0,9,0,50,50,1,0,1.898044,0.4384858,0.4744897,0.6228573,157.032,20.08243,116.7473,104.1353,1,1,2,0.6228573,0,50,1,0,10,
862,data/screenshots/862_0_1_5_0_50_50_1_0_0_3.514_3.620211_3.913881_355.074_20.5451_6.264526_73.92453_1_1_2_3.620211_0_2_6.png,0,1,5,0,50,50,1,0,0,3.514,3.620211,3.913881,355.074,20.5451,6.264526,73.92453,1,1,2,3.620211,0,50,2,0,6,
863,data/screenshots/863_1_0_5_0_50_50_1_0_0.8338277_1.050305_1.747914_2.043136_210.973_221.784_264.927_265.0881_1_1_0_50_0_1_6.png,1,0,5,0,50,50,1,0,0.8338277,1.050305,1.747914,2.043136,210.973,221.784,264.927,265.0881,1,1,0,50,0,50,1,0,6,
864,data/screenshots/864_0_1_6_0_50_50_1_0_0_0.4190843_1.099253_1.112138_315.2277_106.3918_253.4868_220.2698_1_1_0_50_1_0_8.png,0,1,6,0,50,50,1,0,0,0.4190843,1.099253,1.112138,315.2277,106.3918,253.4868,220.2698,1,1,0,50,1,2.776972,0,0,8,
865,data/screenshots/865_0_1_6_0_50_50_1_0_0_1.783105_1.92713_2.217583_226.3368_115.7835_215.6193_195.6066_1_1_0_50_0_0_7.png,0,1,6,0,50,50,1,0,0,1.783105,1.92713,2.217583,226.3368,115.7835,215.6193,195.6066,1,1,0,50,0,50,0,0,7,
866,data/screenshots/866_0_1_2_0_50_50_1_0_0_1.995112_2.777121_50_232.688_20.15845_1000_171.7413_1_1_0_50_1_0_4.png,0,1,2,0,50,50,1,0,0,1.995112,2.777121,50,232.688,20.15845,1000,171.7413,1,1,0,50,1,1.585799,0,0,4,
867,data/screenshots/867_1_0_3_0_50_50_1_0_0.6384407_1.716008_1.947495_2.665919_259.1877_126.8822_65.56305_12.39939_1_1_0_50_1_0_5.png,1,0,3,0,50,50,1,0,0.6384407,1.716008,1.947495,2.665919,259.1877,126.8822,65.56305,12.39939,1,1,0,50,1,1.68802,0,0,5,
868,data/screenshots/868_1_0_1_0_50_50_1_0_2.123193_1.596718_50_50_34.82185_1000_1000_8.915771_1_1_0_50_0_0_2.png,1,0,1,0,50,50,1,0,2.123193,1.596718,50,50,34.82185,1000,1000,8.915771,1,1,0,50,0,50,0,0,2,
869,data/screenshots/869_0_1_3_0_50_50_1_0_0_2.702642_3.518183_3.540934_105.4031_109.0929_135.8631_296.3188_1_1_1_2.702642_0_0_4.png,0,1,3,0,50,50,1,0,0,2.702642,3.518183,3.540934,105.4031,109.0929,135.8631,296.3188,1,1,1,2.702642,0,50,0,0,4,
870,data/screenshots/870_0_1_3_0_50_50_1_0_0_0.5520373_0.9720399_3.212522_59.01173_103.8802_16.10213_283.3306_1_1_0_50_0_0_4.png,0,1,3,0,50,50,1,0,0,0.5520373,0.9720399,3.212522,59.01173,103.8802,16.10213,283.3306,1,1,0,50,0,50,0,0,4,
871,data/screenshots/871_0_1_7_4_0.5653457_4.397199_0_1_0_1.721996_2.245762_3.92627_83.04318_313.5106_4.31427_92.53966_0_0_0_50_0_1_8.png,0,1,7,4,0.5653457,4.397199,0,1,0,1.721996,2.245762,3.92627,83.04318,313.5106,4.31427,92.53966,0,0,0,50,0,50,1,0,8,
872,data/screenshots/872_0_1_7_0_50_50_0_0_0_1.667854_2.015807_2.614673_283.3415_207.654_195.6852_97.8812_0_0_2_2.015807_0_0_8.png,0,1,7,0,50,50,0,0,0,1.667854,2.015807,2.614673,283.3415,207.654,195.6852,97.8812,0,0,2,2.015807,0,50,0,0,8,
873,data/screenshots/873_1_0_1_0_50_50_0_0_1.767234_3.336005_50_50_282.2071_1000_1000_275.4008_0_0_0_50_0_0_2.png,1,0,1,0,50,50,0,0,1.767234,3.336005,50,50,282.2071,1000,1000,275.4008,0,0,0,50,0,50,0,0,2,
874,data/screenshots/874_1_0_2_0_50_50_0_0_2.896523_50_50_50_1000_1000_1000_1000_1_1_0_50_1_2_4.png,1,0,2,0,50,50,0,0,2.896523,50,50,50,1000,1000,1000,1000,1,1,0,50,1,1.336159,2,0,4,
875,data/screenshots/875_0_1_3_0_50_50_0_0_0_1.614136_2.586956_3.241012_235.4491_122.3926_194.6441_78.8499_0_0_0_50_0_0_4.png,0,1,3,0,50,50,0,0,0,1.614136,2.586956,3.241012,235.4491,122.3926,194.6441,78.8499,0,0,0,50,0,50,0,1,4,
876,data/screenshots/876_1_0_0_0_50_50_0_0_2.716238_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,1,0,0,0,50,50,0,0,2.716238,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
877,data/screenshots/877_0_1_5_0_50_50_0_0_0_0.8939463_2.937341_3.462539_299.0862_97.22693_173.0087_229.1311_0_0_2_0.8939463_0_0_6.png,0,1,5,0,50,50,0,0,0,0.8939463,2.937341,3.462539,299.0862,97.22693,173.0087,229.1311,0,0,2,0.8939463,0,50,0,0,6,
878,data/screenshots/878_0_1_6_4_0.8492415_2.343164_0_0_0_1.495207_1.72029_2.139216_178.5714_285.403_251.1269_176.0556_0_0_0_50_0_0_7.png,0,1,6,4,0.8492415,2.343164,0,0,0,1.495207,1.72029,2.139216,178.5714,285.403,251.1269,176.0556,0,0,0,50,0,50,0,0,7,
879,data/screenshots/879_0_1_0_4_0.6882218_1.167919_0_0_0_0.5808693_1.122593_1.554077_154.811_214.8999_155.5883_133.7588_0_0_0_50_0_0_5.png,0,1,0,4,0.6882218,1.167919,0,0,0,0.5808693,1.122593,1.554077,154.811,214.8999,155.5883,133.7588,0,0,0,50,0,50,0,1,5,
880,data/screenshots/880_1_0_6_3_0.6765966_1.210107_0_1_1.467614_0.9217309_1.177639_1.750759_326.3117_32.88605_183.0785_97.23071_1_0_0_50_1_0_8.png,1,0,6,3,0.6765966,1.210107,0,1,1.467614,0.9217309,1.177639,1.750759,326.3117,32.88605,183.0785,97.23071,1,0,0,50,1,1.133359,0,1,8,
881,data/screenshots/881_1_0_3_3_0.8778687_0_1_1_0.8584281_0.8778687_0.8778688_0.8778689_177_57_297_0_1_1_1_4.493782_0_0_5.png,1,0,3,3,0.8778687,0,1,1,0.8584281,0.8778687,0.8778688,0.8778689,177,57,297,0,1,1,1,4.493782,0,50,0,0,5,
882,data/screenshots/882_1_0_2_3_0.8835878_3.919133_0_0_2.627264_3.121447_4.127944_4.651628_186.2285_167.7465_186.6347_208.7653_0_0_0_50_1_1_6.png,1,0,2,3,0.8835878,3.919133,0,0,2.627264,3.121447,4.127944,4.651628,186.2285,167.7465,186.6347,208.7653,0,0,0,50,1,2.777379,1,0,6,
883,data/screenshots/883_0_1_3_0_50_50_0_0_0_4.771792_5.169549_5.647386_157.2417_165.1409_159.0858_138.5251_0_0_0_50_0_0_4.png,0,1,3,0,50,50,0,0,0,4.771792,5.169549,5.647386,157.2417,165.1409,159.0858,138.5251,0,0,0,50,0,50,0,0,4,
884,data/screenshots/884_1_0_3_0_50_50_0_0_0.7184647_1.796014_5.802119_6.426662_254.7677_199.9068_195.7081_342.1368_0_1_0_50_0_0_4.png,1,0,3,0,50,50,0,0,0.7184647,1.796014,5.802119,6.426662,254.7677,199.9068,195.7081,342.1368,0,1,0,50,0,50,0,0,4,
885,data/screenshots/885_0_1_1_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_1_1_3.png,0,1,1,0,50,50,0,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,1,1.638621,1,0,3,
886,data/screenshots/886_0_1_4_3_0.7805932_3.596677_0_1_0_1.655469_2.907965_3.746354_222.5625_353.487_11.9798_31.56628_0_1_0_50_0_0_5.png,0,1,4,3,0.7805932,3.596677,0,1,0,1.655469,2.907965,3.746354,222.5625,353.487,11.9798,31.56628,0,1,0,50,0,50,0,0,5,
887,data/screenshots/887_0_1_6_5_0.5931173_1.8996_0_0_0_1.373886_1.574475_2.039746_170.2487_196.4916_163.1642_147.1491_0_0_0_50_0_0_7.png,0,1,6,5,0.5931173,1.8996,0,0,0,1.373886,1.574475,2.039746,170.2487,196.4916,163.1642,147.1491,0,0,0,50,0,50,0,0,7,
888,data/screenshots/888_0_1_3_0_50_50_0_0_0_1.782816_2.825577_4.288577_322.0191_304.3947_352.9203_33.0838_1_1_0_50_0_0_4.png,0,1,3,0,50,50,0,0,0,1.782816,2.825577,4.288577,322.0191,304.3947,352.9203,33.0838,1,1,0,50,0,50,0,0,4,
889,data/screenshots/889_0_1_4_0_50_50_0_0_0_1.865716_2.888239_50_203.9095_86.72971_1000_181.8945_0_0_0_50_0_2_5.png,0,1,4,0,50,50,0,0,0,1.865716,2.888239,50,203.9095,86.72971,1000,181.8945,0,0,0,50,0,50,2,0,5,
890,data/screenshots/890_1_0_3_0_50_50_0_0_2.459182_5.365521_50_50_298.8083_1000_1000_290.5231_0_0_0_50_0_2_4.png,1,0,3,0,50,50,0,0,2.459182,5.365521,50,50,298.8083,1000,1000,290.5231,0,0,0,50,0,50,2,0,4,
891,data/screenshots/891_1_0_2_0_50_50_0_0_2.825807_3.912308_4.261065_50_211.9054_150.1093_1000_56.4285_0_0_0_50_0_0_3.png,1,0,2,0,50,50,0,0,2.825807,3.912308,4.261065,50,211.9054,150.1093,1000,56.4285,0,0,0,50,0,50,0,0,3,
892,data/screenshots/892_0_1_4_0_50_50_0_0_0_1.858905_1.97011_2.639605_23.39256_58.60428_92.33487_323.821_1_1_2_1.97011_0_0_5.png,0,1,4,0,50,50,0,0,0,1.858905,1.97011,2.639605,23.39256,58.60428,92.33487,323.821,1,1,2,1.97011,0,50,0,0,5,
893,data/screenshots/893_1_0_2_0_50_50_0_0_2.768786_0.7694616_4.264125_50_112.9185_62.43011_1000_250.6818_0_0_0_50_0_0_3.png,1,0,2,0,50,50,0,0,2.768786,0.7694616,4.264125,50,112.9185,62.43011,1000,250.6818,0,0,0,50,0,50,0,0,3,
894,data/screenshots/894_0_1_4_0_50_50_0_0_0_1.381855_2.778769_3.329242_127.7008_200.2237_215.2639_260.3826_0_0_0_50_0_0_5.png,0,1,4,0,50,50,0,0,0,1.381855,2.778769,3.329242,127.7008,200.2237,215.2639,260.3826,0,0,0,50,0,50,0,0,5,
895,data/screenshots/895_1_0_2_0_50_50_0_0_0.9066989_3.68268_50_50_102.745_1000_1000_162.6907_0_0_0_50_0_1_3.png,1,0,2,0,50,50,0,0,0.9066989,3.68268,50,50,102.745,1000,1000,162.6907,0,0,0,50,0,50,1,0,3,
896,data/screenshots/896_0_1_1_0_50_50_0_0_0_4.645492_50_50_323.4657_1000_1000_349.1565_1_1_0_50_0_0_2.png,0,1,1,0,50,50,0,0,0,4.645492,50,50,323.4657,1000,1000,349.1565,1,1,0,50,0,50,0,0,2,
897,data/screenshots/897_0_1_5_3_0.6395466_4.741544_0_0_0_1.171622_3.964435_4.454271_211.1714_215.3393_187.1284_249.9717_0_0_0_50_0_0_6.png,0,1,5,3,0.6395466,4.741544,0,0,0,1.171622,3.964435,4.454271,211.1714,215.3393,187.1284,249.9717,0,0,0,50,0,50,0,0,6,
898,data/screenshots/898_0_1_6_3_0.8048897_0_1_1_0_0.8048896_0.8048896_0.8048897_58.00001_178_298_0_1_1_2_1.434311_0_2_8.png,0,1,6,3,0.8048897,0,1,1,0,0.8048896,0.8048896,0.8048897,58.00001,178,298,0,1,1,2,1.434311,0,50,2,0,8,
899,data/screenshots/899_0_1_2_3_0.8757041_0_1_1_0_0.8757041_0.8757041_0.8757042_257_137_17.00001_0_1_1_0_50_0_1_5.png,0,1,2,3,0.8757041,0,1,1,0,0.8757041,0.8757041,0.8757042,257,137,17.00001,0,1,1,0,50,0,50,1,0,5,
